"","STATIONID","mean_CPUE","var_CPUE","lat","long","mean_var"
"60","F-09",441.131734719233,17647.2730362951,775480.727976114,-535932.868909741,212244.480412695
"61","F-10",414.777758209685,13051.8872562286,771278.128669009,-499404.516793548,185092.47596168
"62","F-11",338.219065979131,7300.54995468307,766159.714935202,-463067.090442311,121692.686546479
"63","F-12",180.742347902685,2430.15032036542,762363.413034849,-426280.467566402,35097.9466457407
"64","F-13",62.3208458657465,724.074429155922,758754.830513959,-388947.740767528,4607.96225857805
"65","F-14",0.939141436984623,0.409291416215755,756333.307414948,-350721.985253903,1.2912780548773
"66","F-18",1525.20223866665,39248.0891455201,833152.536134094,-867988.413805714,2365489.95797928
"67","F-19",2636.50475206032,247308.320596232,841998.076165468,-904494.048660037,7198465.62823286
"68","F-20",1848.58525698494,94602.5858577437,850652.392388863,-940200.586391871,3511870.03819983
"69","F-21",1672.02375443572,64921.9478328174,858961.267589796,-977072.548148789,2860585.38323014
"70","F-22",1781.74357534175,33901.8909297127,868130.403353522,-1013032.58912714,3208512.05920133
"71","F-23",1706.68626055421,54762.7482239633,877970.355171538,-1049727.47873924,2967540.74018848
"72","F-24",2273.99425487902,71052.6845768395,887856.770393249,-1085368.63971127,5242102.55579961
"73","F-25",4800.30794108154,1123436.57718941,898093.400050209,-1121216.09267288,24166392.9063999
"74","G-01",765.352250465686,34138.707320844,862576.308229027,-824858.610535353,619902.774613734
"75","G-02",322.251520082939,4982.26083659265,854692.947163963,-788839.850933421,108828.303032357
"76","G-03",347.262746599378,10482.1233707828,848008.915862285,-751229.333003525,131073.538546527
"77","G-04",223.665593806021,4863.03113699297,840471.294459791,-714736.239839994,54889.3289895931
"78","G-05",165.435276318289,5132.26793808226,834655.303465728,-677089.79423966,32501.098588591
"79","G-06",196.832428188601,5615.41421761496,828507.375313785,-640590.986192751,44358.4190042359
"80","G-07",188.458339561927,5611.6568746205,823186.931549816,-604635.825983607,41128.2026250592
"81","G-08",218.711134701207,7547.80328137943,817221.812431694,-567633.571289599,55382.363723669
"82","G-09",209.729709059066,5849.78287746297,812262.954834733,-531205.44259155,49836.3337394635
"83","G-10",140.758147147604,1435.82409596874,808286.318049497,-493906.152908242,21248.6800843952
"84","G-11",154.416869168375,2606.3676550096,802781.422229327,-457739.204190104,26450.9371387725
"85","G-12",81.8495167644784,680.432520849134,798573.548139914,-420706.003622378,7379.77591542777
"86","G-13",70.7601193792067,430.501894403586,795475.169887284,-383287.848662936,5437.49638896317
"87","G-14",15.8252994171951,148.0258138896,792099.264673792,-345305.695062104,398.465915533474
"88","G-15",3.67760351446601,8.99284349628835,789127.662034755,-310257.169989834,22.5176111059011
"89","G-18",932.347624471602,25830.6593454638,870611.307210762,-862861.343385106,895102.752203304
"90","G-19",910.635658821316,20981.4209668365,878909.549563418,-899192.274306057,850238.724083769
"91","G-20",581.224838371856,9382.61582172749,886570.162638827,-934832.198284807,347204.928562118
"92","G-21",1022.91927933813,34217.4427736631,896025.138224679,-971111.909620294,1080581.29481531
"93","G-22",1568.83897456051,25874.5358194813,904840.513929077,-1006764.71107233,2487130.26391955
"94","G-23",1772.66248083925,34053.0321743541,914666.307286851,-1042765.52916229,3176385.30314953
"95","G-24",1837.54843753166,40629.6103609253,924662.987247616,-1079900.92303113,3417213.87063598
"96","G-25",2135.60126519158,78106.7789591809,934284.236376956,-1116131.6213391,4638899.54284706
"97","G-26",2130.65539754427,68526.4047925586,945070.038611528,-1150668.98138446,4608218.82787707
"98","H-01",482.900636041987,16035.2468465997,899109.338090249,-819464.381738097,249228.271136355
"99","H-02",193.921305350267,2479.96084415009,891627.745580443,-783166.92622934,40085.4335129016
"100","H-03",177.481625756676,3050.66608220451,884705.516191912,-745654.858713797,34550.3935634375
"101","H-04",127.732231648721,2639.48874744323,877557.833048092,-709153.786681759,18955.0117494059
"102","H-05",82.1484154726919,1498.98305247229,871422.186234567,-671740.64990376,8247.3452171463
"103","H-06",63.1798135492476,995.901080178061,865187.216835574,-635044.447149663,4987.58992029576
"104","H-07",35.6922750610073,208.634621353481,859105.245108507,-598551.944456517,1482.57312038408
"105","H-08",46.8658232648819,521.5349087733,853897.425848224,-561824.89937647,2717.94029906845
"106","H-09",72.1078109153284,1135.74477455898,849302.136271218,-525163.222720516,6335.28116955973
"107","H-10",59.2725088359306,809.718750851888,845021.33576977,-488219.443629861,4322.94905455736
"108","H-11",83.7053317615154,835.190755730292,839284.37281498,-452033.83687135,7841.77332103565
"109","H-12",112.319600641877,1227.317934239,835776.446269557,-415764.874769547,13843.0106225898
"110","H-13",33.4533291499933,168.057863624493,832667.126871868,-377666.104134055,1287.18309484228
"111","H-14",12.0761767633823,103.396087624742,829225.641115389,-340023.974799993,249.230132845197
"112","H-15",15.3583542781325,193.950599320949,825654.720398308,-304199.259259635,429.829645453578
"113","H-16",1.8023088984736,1.61291148966581,822513.24330611,-264969.205284348,4.86122885518293
"114","H-18",442.630438849057,5899.99611687952,907310.195403371,-856692.669334925,201821.701512588
"115","H-19",660.048251281683,16985.8518783762,915749.577161492,-892722.34583722,452649.545898384
"116","H-20",559.030818414608,13782.4082699329,923741.642185354,-928763.147775399,326297.864207239
"117","H-21",132.995545567443,2559.05746588501,932533.030091656,-965038.258234704,20246.8726066668
"118","H-22",1230.93712291132,25926.2040606486,942892.398705662,-1001417.65450994,1541132.40462185
"119","H-23",1479.72306647563,46332.8270961989,951548.95269447,-1036772.66078303,2235913.18055625
"120","H-24",1618.62877529354,29263.5117271134,961752.047907455,-1073746.97307852,2649222.62393539
"121","H-25",1792.59853192199,25985.3275041705,973325.671683112,-1112743.17928372,3239394.82415304
"122","H-26",3464.92953299944,174597.284345205,982370.982742661,-1144786.21156361,12180333.9529969
"123","I-01",162.756527772839,4365.18718480914,936471.36766554,-813302.414168396,30854.8745174801
"124","I-02",69.6862176868168,489.246668239563,928442.150680287,-776446.757316596,5345.41560373398
"125","I-03",78.9448586900305,925.673566071497,920945.934448735,-739945.573319876,7157.96427966038
"126","I-04",74.3480741047824,891.769925796185,914356.316773454,-703308.60179883,6419.4060488864
"127","I-05",68.2280061071408,1245.71323572265,908286.593584948,-666271.748160041,5900.77405307869
"128","I-06",23.3145576122403,135.944795536991,902112.585053315,-629257.637207688,679.51339219146
"129","I-07",16.1310379579447,61.2799946829115,895881.662498679,-592935.179486137,321.490380283564
"130","I-08",12.5412733391841,75.0108437212746,890284.497523891,-555832.326770037,232.294380689405
"131","I-09",6.26998028334021,14.7179635648025,886310.615782222,-519255.468415648,54.0306163182776
"132","I-10",23.778361189927,165.458309855533,881545.761324716,-482629.099246124,730.868770734157
"133","I-11",18.3932003370606,71.775145296855,876192.172599677,-445349.404652274,410.084963936101
"134","I-12",59.1121311752801,951.362175042849,872810.881141471,-409060.884162801,4445.60622712638
"135","I-13",18.0384200987934,101.461535244138,869702.092801165,-372318.085736329,426.846134904693
"136","I-14",13.1108415888402,61.377438902053,866041.418423213,-334911.021951398,233.271606069714
"137","I-15",0.844825984469169,0.7137309440343,862434.767307676,-298596.776182157,1.4274618880686
"138","I-16",1.01906502163174,1.03849351831329,858790.195771906,-259303.366004769,2.07698703662659
"139","I-18",411.252773536659,7031.87933133905,944148.234136344,-850361.620459345,176160.723072933
"140","I-19",319.67486305668,6175.85555912395,952322.953738831,-887040.589463007,108367.873629431
"141","I-20",376.141537230772,11171.8298758975,960753.911283153,-923045.253108541,152654.285906226
"142","I-21",671.960237366751,33254.6459253572,969061.183121519,-958894.144427246,484785.206527337
"143","I-22",1370.78488944071,61036.6679562388,979044.805924976,-994665.31874238,1940087.88107522
"144","I-23",1735.57056490496,84866.7452895892,988729.207347004,-1031259.62399862,3097071.9310541
"145","I-24",1435.29066202056,51482.5179216382,998866.7153884,-1067894.51573385,2111541.80240504
"146","I-25",1480.78158344941,22735.7049163434,1008781.41649073,-1103871.06869205,2215449.80279929
"147","I-26",3064.36556470458,267299.40510723,1019085.04614255,-1137684.30752927,9657635.71925446
"148","J-01",76.6668609489012,755.464859534234,972895.221546527,-808004.795825061,6633.27242729239
"149","J-02",62.2186227402743,854.635699387912,965526.903605092,-771307.668278627,4725.7927150845
"150","J-03",58.9063199750667,611.234825644111,957508.746670014,-733913.54793513,4081.18935864905
"151","J-04",59.2124476787714,722.61835999271,951224.863301672,-698007.613159022,4228.73232010396
"152","J-05",8.81694925864316,43.1219050786623,945536.924688476,-659973.206579083,120.86049930815
"153","J-06",0.467565998694088,0.2186179631348,939058.408345504,-623203.272517731,0.4372359262696
"154","J-07",0,0,932901.32643031,-588161.069748872,0
"155","J-08",0.173544281961475,0.0301176178015238,926835.199703736,-550587.326709327,0.0602352356030475
"156","J-09",0.399156289960888,0.15932574381534,923479.58165013,-514252.611957596,0.31865148763068
"157","J-10",0.535380570337308,0.286632355094701,917819.701861889,-477299.212186656,0.573264710189402
"158","J-11",0,0,912504.718816095,-440272.226331252,0
"159","J-12",2.01444518944607,4.05798942128242,909099.652377482,-403127.182567711,8.11597884256484
"160","J-13",2.42752887141847,3.15154457750912,906266.624618141,-365668.165472314,9.04444099907936
"161","J-14",0,0,903580.649523604,-330059.626126823,0
"162","J-15",0,0,898749.865301193,-292579.708526897,0
"163","J-16",0.586582866323346,0.221505734953556,896170.852414452,-254579.759795044,0.565585194017669
"164","J-18",119.837822444663,2262.25218606049,981158.308822492,-844267.169536333,16623.3558743391
"165","J-19",86.9492238193795,895.033896948547,989049.51396377,-880823.652668376,8455.2014197411
"166","J-20",174.480262986584,6227.07492363348,997510.268677082,-917136.879791532,36670.4370955008
"167","J-21",233.190582086014,8833.77546272544,1006432.37616627,-953560.005753299,63211.6230363395
"168","J-22",1062.98671319453,77902.8799115331,1015585.55030391,-989553.375313907,1207843.63233964
"169","J-23",1062.33894435798,38897.5696367666,1025519.87717823,-1025458.32027546,1167461.6023364
"170","J-24",1754.42927363721,166890.760769346,1035555.47306346,-1062240.66253778,3244912.83696454
"171","J-25",775.982310267087,7762.73380639686,1045407.22330613,-1097407.99482874,609911.279653843
"172","J-26",2636.57459220043,93154.8454364114,1055917.14361649,-1131685.28468762,7044680.4256733
"173","K-01",51.2088818439284,892.239864089734,1009655.96978861,-802149.719374978,3514.58944379516
"174","K-02",52.3382299156295,859.242375925507,1002292.56955716,-765126.093854922,3598.53268662681
"175","K-03",10.9534419001438,72.4620275324315,994828.642807568,-728794.937876506,192.439916992257
"176","K-04",1.2888118586662,1.66103600703861,987733.674926446,-692485.877660424,3.32207201407723
"177","K-05",1.27455423966875,1.62448850985757,982143.2197826,-655690.685283338,3.24897701971515
"178","K-06",0,0,975947.046713574,-618558.716655269,0
"179","K-07",0,0,969846.073979274,-582111.541944234,0
"180","K-08",0,0,964206.048541067,-545091.789494998,0
"181","K-09",0,0,959220.564647324,-507529.830131136,0
"182","K-10",0,0,953024.11330801,-469071.083303196,0
"183","K-11",0,0,940403.971573947,-439099.613099791,0
"184","K-12",0,0,942637.760103806,-395157.538552282,0
"185","K-13",0,0,935884.58252375,-351606.448377339,0
"186","K-14",0,0,939731.121403845,-323672.414519329,0
"187","K-18",80.3335965737,2380.79826457327,1017960.58624774,-838241.240032702,8834.28500303925
"188","K-19",92.3689785979967,2241.18626840296,1025928.00352259,-875210.803608708,10773.2144756401
"189","K-20",61.144146411841,648.758090234174,1034750.96313988,-910223.323261112,4387.36473066682
"190","K-21",138.685069838112,3348.17292500574,1043157.86492259,-946966.501239421,22581.7215210077
"191","K-22",418.000730177122,25781.4456659417,1052787.91988085,-983066.237648642,200506.056094549
"192","K-23",623.440682139206,18946.4425052593,1062167.53606938,-1018272.47318973,407624.726651457
"193","K-24",660.229971260832,21708.4956114162,1072583.54816931,-1054973.88687474,457612.110562496
"194","K-25",1074.65943763713,33380.2963939465,1082290.52949638,-1090409.6254876,1188273.20329651
"195","K-26",1411.56833012207,23552.4373572033,1092083.80058957,-1125951.99815668,2016077.5879608
"196","K-27",2376.26078552062,133737.727203928,1106173.47106005,-1166471.41142423,5780353.048007
"197","L-01",8.32832798562787,69.3610470361924,1046720.8417709,-796171.106017364,138.722094072385
"198","L-02",2.0554142375718,3.34765436377902,1039206.96608933,-759555.940114571,7.57238205179189
"199","L-03",0.857341330847532,0.735034157579416,1031347.03058753,-722650.162174455,1.47006831515883
"200","L-04",0,0,1024494.48198536,-686362.484154984,0
"201","L-05",0,0,1018876.86988141,-650510.39212679,0
"202","L-06",0,0,1013009.11150406,-613228.109857408,0
"203","L-07",0,0,1006397.17405763,-576331.547772318,0
"204","L-08",0,0,1000657.47788262,-538972.495993729,0
"205","L-09",0,0,994476.022806488,-502346.415754952,0
"206","L-18",41.226404643211,621.112453041184,1054622.5943074,-831659.738413851,2320.72889284695
"207","L-19",82.6441019846279,2004.12207906785,1062477.74055144,-868793.715879048,8834.16967191343
"208","L-20",65.0021949406331,1768.11426104874,1071129.66331099,-904375.447312514,5993.3996081488
"209","L-21",85.621952478764,1452.80051934408,1080204.02953033,-940877.949749826,8783.9192656198
"210","L-22",119.596527313248,2212.55536794018,1089212.65588504,-977106.955494649,16515.8847133286
"211","L-23",274.655715296534,7902.89117822655,1099568.27550052,-1012539.60528549,83338.6531232772
"212","L-24",733.999503107307,49750.0450391391,1109666.14898709,-1048767.33829025,588505.315600913
"213","L-25",1489.06489341556,73987.6809006142,1119106.00077955,-1083738.43935701,2291301.93770332
"214","L-26",3187.92917796751,158145.175363948,1129975.20034165,-1119004.26379779,10321037.6191006
"215","L-27",4726.10005986651,381593.436413784,1141331.55677521,-1154492.4083672,22717615.212284
"216","L-28",4115.67956889848,171683.280155895,1158124.34101939,-1188472.06422962,17110501.5940043
"217","L-29",3149.66877905056,123962.92937367,1164361.78000258,-1224279.55163273,10044376.3470995
"218","L-30",2928.73595546318,128038.788519916,1176420.55711491,-1260270.97014876,8705533.08534272
"219","L-31",1959.19883327326,63572.9089705944,1188917.75523298,-1294970.06221603,3902032.97726989
"220","M-01",0,0,1083366.2549392,-789615.515707492,0
"221","M-02",0.548012832193323,0.300318064248547,1075873.39266183,-752859.900627721,0.600636128497094
"222","M-03",0,0,1068363.14963252,-716477.580316997,0
"223","M-04",0,0,1061594.94640331,-679919.016715852,0
"224","M-05",0,0,1056293.2883406,-643977.74754569,0
"225","M-06",0,0,1049049.40562778,-607649.113634915,0
"226","M-07",0,0,1043240.38809973,-570423.307328939,0
"227","M-08",0,0,1036540.24358234,-533785.976230322,0
"228","M-18",1.75916276381847,2.62357537263979,1091377.96189697,-825740.038151913,5.71822900224522
"229","M-19",42.2389437683211,561.376266403299,1099672.79030677,-862007.258450826,2345.50463706669
"230","M-20",48.6810106838523,810.902465161106,1108259.80376549,-898247.95450237,3180.74326636244
"231","M-21",67.6205989870956,1556.65603453578,1117083.30761627,-934215.01254318,6129.20144190937
"232","M-22",45.6427590674721,524.996044434239,1125923.30637823,-970183.186474095,2608.25749972554
"233","M-23",145.149270989522,5010.87539147295,1136360.18177532,-1006201.59546424,26079.1862602625
"234","M-24",562.318161084891,33551.2781010226,1146590.83427999,-1042400.81125018,349752.992386916
"235","M-25",953.82502688796,48435.7267462886,1156602.87909031,-1077748.17311757,958217.908664107
"236","M-26",1969.28717320139,63158.1135355242,1166718.34936954,-1112729.95060469,3941250.08407105
"237","M-27",2409.47886555118,65186.3667644431,1178664.18892532,-1148447.61098278,5870774.77030224
"238","M-28",3636.49357508143,148246.472547616,1189488.73715077,-1182748.45921498,13372331.9941562
"239","M-29",1725.18978660996,37812.6077988876,1202256.78277285,-1222481.59527104,3014092.40762222
"240","M-30",2682.70005820459,158853.072910621,1213373.87337949,-1254076.80425973,7355732.67520151
"241","M-31",2751.20346846303,135056.647045911,1224863.59135051,-1288614.20083159,7704177.17192894
"242","M-32",2079.10765034214,66086.0062404154,1238044.48091871,-1322172.13513848,4388774.62795165
"243","N-01",0,0,1119780.92087185,-783782.508311967,0
"244","N-02",0,0,1112470.82184479,-746937.118526545,0
"245","N-03",0,0,1105565.81152154,-710497.609334957,0
"246","N-04",0,0,1098108.61252545,-674086.134844642,0
"247","N-05",0,0,1091778.63657886,-638324.54858616,0
"248","N-06",0,0,1085718.7395444,-601392.869175868,0
"249","N-07",0,0,1079599.19210563,-565201.638405519,0
"250","N-18",0,0,1128348.75508827,-819293.215951021,0
"251","N-19",9.14223160809373,29.4750796012774,1136784.46365412,-856586.199582742,113.055478377306
"252","N-20",48.327117813586,1156.68621992569,1145024.07178737,-891269.423565841,3492.19653609391
"253","N-21",86.3809742192281,3080.13311211483,1153850.61745593,-928281.996367372,10541.8058191778
"254","N-22",50.2062939124395,827.599743208308,1162643.08950109,-963624.705545415,3348.27169163056
"255","N-23",94.0834762715054,3282.18758967929,1173095.96072003,-999241.600674713,12133.8880970102
"256","N-24",211.97973790962,16478.9220204826,1182691.91705051,-1035669.47970838,61414.3313047137
"257","N-25",380.215768343919,10280.8261740956,1193295.98775631,-1071127.58122721,154844.856671452
"258","N-26",1095.72943586482,49605.2953258637,1203556.81491886,-1106484.23424438,1250228.29194651
"259","N-27",1752.15059747957,51311.2464046779,1214523.35379392,-1140914.38898288,3121342.96265271
"260","N-28",1859.6354958898,43426.7489435516,1226069.46068188,-1176740.35405877,3501670.92651685
"261","N-29",1049.83340809782,26042.5335925514,1237733.44552081,-1211898.77172853,1128192.71835083
"262","N-30",718.31809310225,16691.0992951799,1250095.15521984,-1245652.77639303,532671.982173232
"263","N-31",2414.6944510889,86670.9129553648,1262719.84821393,-1281464.22438066,5917420.20507487
"264","O-01",0,0,1156717.78523228,-777570.64969766,0
"265","O-02",0,0,1148138.09882147,-740976.41418862,0
"266","O-03",0,0,1141408.35263945,-704858.873958851,0
"267","O-04",0,0,1131670.81022782,-668011.54334359,0
"268","O-18",0,0,1164945.17579299,-814179.764367218,0
"269","O-19",0,0,1173297.22734653,-849802.55322225,0
"270","O-20",21.2687956862173,273.68088896454,1181817.01305731,-885410.736135354,726.042558906596
"271","O-21",46.1363790050242,1410.99621958599,1190511.27367875,-921454.955651138,3539.56168728123
"272","O-22",125.548205952668,8893.87085725193,1199944.86914055,-957552.513326684,24656.2228751855
"273","O-23",82.7879381569104,2995.00139164562,1209735.50098254,-993070.682996743,9848.84409591804
"274","O-24",84.6686092130343,2851.73617402993,1219836.86363295,-1029170.19230586,10020.5095600994
"275","O-25",155.962342291431,6551.70341197174,1230652.33426477,-1065471.78481316,30875.9556250014
"276","O-26",675.427500709797,55629.0349102708,1240432.63427592,-1099004.93906346,511831.343625353
"277","O-27",975.444943062324,41567.9934597438,1250099.88632041,-1130722.3294466,993060.830405604
"278","O-28",1181.25305050899,26552.4078778855,1261557.49475145,-1165891.75247128,1421911.17721468
"279","O-29",895.701605497314,27797.6810342756,1275812.04057006,-1205917.63848367,830079.047124741
"280","O-30",908.476405620626,54452.5777620925,1288123.32303515,-1241478.54017288,879781.957331464
"281","O-31",5017.18193854445,541854.850775934,1299913.82958171,-1273150.58239947,25713969.4552326
"282","P-01",0,0,1193544.04341297,-771852.804551926,0
"283","P-18",0,0,1201701.16041905,-807837.493388054,0
"284","P-19",1.08141178726853,1.16945145364331,1209794.13903463,-844060.219815967,2.33890290728662
"285","P-20",12.4779281130844,68.4647890636413,1218643.72049301,-878947.57080531,224.163479058944
"286","P-21",41.1901717584583,1375.37681602559,1227362.47638539,-914717.363239046,3072.00706551689
"287","P-22",98.5273474553648,4437.72254867919,1236366.66554344,-951176.535679454,14145.3607452694
"288","P-23",29.1828689065351,847.487233787484,1246351.61940225,-986413.13046909,1699.1270714035
"289","P-24",28.5781395704039,636.757850959138,1256275.8542905,-1021880.33717727,1453.46791226463
"290","P-25",51.9170916261052,1573.67992329159,1267699.11932151,-1057131.83441873,4269.06432620499
"291","P-26",131.829178263735,4522.40466201475,1277648.47184715,-1091982.49718771,21901.3369037064
"292","P-27",443.153561994852,13212.8471933624,1288542.64569729,-1126807.15627894,209597.926702088
"293","P-28",1079.47708475413,46810.4056810612,1299729.9744961,-1161940.57602461,1212081.18219033
"294","P-29",536.332041857233,9863.61744413524,1311806.83479919,-1197044.80449616,297515.676566884
"295","P-30",370.379668296674,9798.38704105515,1326292.70034161,-1237741.74540042,146979.48572861
"296","P-31",466.351941090651,4973.70019845212,1335846.89874506,-1264539.99668702,222457.83315747
"297","P-32",565.699058561635,14009.2027991997,1349471.82326161,-1300329.86420201,334024.62765672
"298","Q-01",0,0,1229671.40838825,-763299.691118576,0
"299","Q-02",0,0,1222706.0302798,-726284.620199463,0
"300","Q-18",0,0,1237661.90141494,-800803.347041246,0
"301","Q-19",0,0,1245817.09522645,-835593.207291703,0
"302","Q-20",2.09959433543931,2.79889942103648,1254687.89793383,-873100.175331912,7.20719579444532
"303","Q-21",13.8883854189924,72.371487178926,1263455.75129594,-907034.795262793,265.258736725406
"304","Q-22",22.9759323343143,323.396096858451,1273467.68145397,-943827.639292333,851.289563489441
"305","Q-23",34.8777537457157,732.151176911672,1283789.83978567,-981804.130902519,1948.60888325846
"306","Q-25",30.0963700877074,481.440950187235,1302984.01180789,-1052913.68999144,1387.23244264348
"307","Q-26",49.5018871286153,890.795107200587,1315572.53075691,-1088116.99126276,3341.23193649475
"308","Q-27",116.512144238535,2183.07175294944,1325840.87505458,-1121474.61046163,15758.1515080107
"309","Q-28",591.746256087262,21412.5600824103,1337590.52939606,-1156492.97877961,371576.191675702
"310","Q-29",829.240817053054,30140.4536446411,1349017.68520157,-1190534.36257627,717780.786311458
"311","Q-30",383.902814512566,14858.4308114868,1361708.65507534,-1226097.47033438,162239.801802156
"312","Q-31",295.206908714145,4353.00553246999,1373967.09848114,-1260089.55407215,91500.1244850317
"313","R-22",5.30242811274637,15.7207993707231,1310194.43179598,-938924.693507873,43.8365432615662
"314","R-23",7.9255883805457,58.0553148301998,1320218.32925576,-974607.618838048,120.870266008041
"315","R-24",26.9897262894451,425.498710087834,1330367.57644319,-1008606.75457916,1153.944035267
"316","R-25",14.3577230326142,120.843504813771,1341144.10436261,-1045156.53507275,326.987715495032
"317","R-26",37.6898921339651,1069.49992917323,1351930.19145996,-1079388.72230427,2490.02789824316
"318","R-27",67.3150940593823,1948.16647090102,1363028.74299467,-1114972.4843984,6479.48835912451
"319","R-28",169.366484035678,4159.90413424957,1373868.74845113,-1148289.31759426,32844.9100488571
"320","R-29",432.486990013205,13738.765515587,1387520.52707539,-1186669.19236571,200783.762046269
"321","R-30",319.619970082805,8400.6966304492,1398440.94403986,-1217871.05767903,110557.621906182
